treatment,snails,limpets,student_initials
"Fucus
",9,3,"CC, BL"
Fucus,3,1,"CC, BL"
"Fucus
",0,1,"CC, BL"
bare,37,2,"CC, BL"
bare,56,10,"CC, BL"
bare,31,8,"CC, BL"
Fucus,12,0,"KB, KS"
Fucus,2,0,"KB, KS"
Fucus,0,0,"KB, KS"
bare,66,0,"KB, KS"
bare,0,1,"KB, KS"
bare,5,0,"KB, KS"
fucus,3,0,"AA, PS"
fucus,7,0,"AA, PS"
bare,5,0,"AA, PS"
bare,0,2,"AA, PS"
Fucus,4,1,"BN, JS"
Fucus,2,0,"BN, JS"
Fucus,4,1,"BN, JS"
Bare,9,13,"BN, JS"
Bare,9,7,"BN, JS"
Bare,0,0,"BN, JS"
Fucus,18,1,AS
Fucus,10,1,AS
Fucus,25,1,AS
Bare,42,0,AS
Bare,0,1,AS
Bare,27,3,AS
Fucus,1,0,"CL, BC"
Fucus,0,0,"CL, BC"
Bare,0,5,"CL, BC"
Bare,0,4,"CL, BC"
Fucus,1,0,"MS, JY"
Fucus,4,1,"MS, JY"
Fucus,7,0,"MS, JY"
Bare,28,6,"MS, JY"
Bare,17,5,"MS, JY"
Bare,43,6,"MS, JY"
Fucus,5,0,"MC, M"
Bare,11,2,"MC, M"
Fucus,5,1,"MC, M"
Bare,1,3,"MC, M"
Fucus,1,0,"MC, M"
Bare,14,1,"MC, M"
