distance,mussel_length,student_initials
21.3,5,"KB, KS"
20.3,8,"KB, KS"
18.7,5,"KB, KS"
17.2,11,"KB, KS"
15.4,7.8,"KB, KS"
14.5,6,"KB, KS"
12.7,6.5,"KB, KS"
12,10.2,"KB, KS"
9.9,8.1,"KB, KS"
8.6,37,"AA, PS"
6.8,47,"AA, PS"
7.5,5,AS
7.65,10,AS
7.62,8,AS
7.75,15,AS
8.15,4,AS
8.17,10,AS
8.42,9,AS
7.75,10,"MC, M"
9.25,7,"MC, M"
10.5,4.5,"MC, M"
10.9,11,"MC, M"
11.1,8,"MC, M"
11.7,4.5,"MC, M"
11.9,5,"MC, M"
12.2,8,"MC, M"
12.2,2.5,"MC, M"
13.95,2,"MC, M"
15.35,2,"MC, M"
15.45,7,"MC, M"
15.6,4.5,"MC, M"
16.5,2,"MC, M"
16.7,1,"MC, M"
17,4,"MC, M"
18.2,3,"MC, M"
17.2,5,"MC, M"
17.2,4,"MC, M"
15.2,5,"MC, M"
15.4,4.5,"MC, M"
15.25,4,"MC, M"
